,ydata
0,1.602809
1,1.609449
2,1.613051
3,1.61457
4,1.613228
5,1.610014
6,1.603974
7,1.59578
8,1.58515
9,1.572117
10,1.556471
11,1.538212
12,1.517586
13,1.494982
14,1.469447
15,1.442429
16,1.412409
17,1.380128
18,1.346046
19,1.309456
20,1.270959
21,1.230838
22,1.187926
23,1.143637
24,1.097512
25,1.049938
26,1.000669
27,0.949811
28,0.897223
29,0.84315
30,0.788372
31,0.732287
32,0.675107
33,0.616549
34,0.557073
35,0.497174
36,0.436215
37,0.375149
38,0.31299
39,0.250936
40,0.188034
41,0.125168
42,0.061666
43,-0.001907
44,-0.064703
45,-0.127534
46,-0.189553
47,-0.250618
48,-0.311471
49,-0.370523
50,-0.428798
51,-0.485554
52,-0.541922
53,-0.5961
54,-0.649254
55,-0.70103
56,-0.751429
57,-0.800415
58,-0.848095
59,-0.894644
60,-0.939463
61,-0.983222
62,-1.025781
63,-1.06675
64,-1.106659
65,-1.144697
66,-1.182205
67,-1.218335
68,-1.253406
69,-1.28717
70,-1.31938
71,-1.350778
72,-1.380869
73,-1.409972
74,-1.436813
75,-1.462384
76,-1.486789
77,-1.508474
78,-1.528711
79,-1.546723
80,-1.562793
81,-1.576744
82,-1.588858
83,-1.598041
84,-1.60574
85,-1.611179
86,-1.613616
87,-1.614216
88,-1.612097
89,-1.607647
90,-1.600866
91,-1.591895
92,-1.579781
93,-1.566007
94,-1.549054
95,-1.529877
96,-1.50858
97,-1.484493
98,-1.458393
99,-1.42982
100,-1.39867
101,-1.365577
102,-1.330258
103,-1.293068
104,-1.253088
105,-1.212155
106,-1.168572
107,-1.123259
108,-1.07625
109,-1.027829
110,-0.977501
111,-0.925724
112,-0.872641
113,-0.817933
114,-0.762237
115,-0.705445
116,-0.647347
117,-0.58833
118,-0.528572
119,-0.467966
120,-0.407006
121,-0.344952
122,-0.282616
123,-0.220173
124,-0.15713
125,-0.093911
126,-0.030515
127,0.032599
128,0.095818
129,0.157766
130,0.219714
131,0.280073
132,0.340008
133,0.398459
134,0.45564
135,0.512255
136,0.567104
137,0.621317
138,0.673765
139,0.724729
140,0.774774
141,0.823619
142,0.87091
143,0.917036
144,0.961925
145,1.005614
146,1.048031
147,1.088788
148,1.12891
149,1.167512
150,1.20495
151,1.241786
152,1.277211
153,1.311081
154,1.343821
155,1.375113
156,1.404992
157,1.433458
158,1.459523
159,1.483998
160,1.506425
161,1.527369
162,1.545805
163,1.56184
164,1.576673
165,1.588893
166,1.598853
167,1.606482
168,1.611744
169,1.614888
170,1.615453
171,1.613334
172,1.609131
173,1.602456
174,1.593449
175,1.581724
176,1.567632
177,1.551174
178,1.532384
179,1.510628
180,1.487318
181,1.461042
182,1.432681
183,1.40206
184,1.369003
185,1.333861
186,1.296388
187,1.257715
188,1.216746
189,1.173305
190,1.128062
191,1.081583
192,1.033233
193,0.98301
194,0.931305
195,0.878857
196,0.824396
197,0.769406
198,0.712297
199,0.654763
200,0.595994
201,0.536412
202,0.475912
203,0.415483
204,0.353464
205,0.291092
206,0.22872
207,0.165713
208,0.103023
209,0.039486
210,-0.023593
211,-0.086671
212,-0.149502
213,-0.211344
214,-0.272868
215,-0.332732
216,-0.39189
217,-0.449918
218,-0.506886
219,-0.562477
220,-0.616478
221,-0.669526
222,-0.720914
223,-0.771207
224,-0.820017
225,-0.867767
226,-0.913751
227,-0.958288
228,-1.001694
229,-1.043652
230,-1.084691
231,-1.12393
232,-1.162391
233,-1.199193
234,-1.235147
235,-1.269829
236,-1.303311
237,-1.335839
238,-1.366919
239,-1.396798
240,-1.425123
241,-1.451435
242,-1.47644
243,-1.499432
244,-1.520659
245,-1.539695
246,-1.557036
247,-1.572329
248,-1.585362
249,-1.596381
250,-1.605034
251,-1.611885
252,-1.615841
253,-1.617395
254,-1.616865
255,-1.613722
256,-1.608424
257,-1.600548
258,-1.590165
259,-1.57745
260,-1.562475
261,-1.544604
262,-1.52419
263,-1.502187
264,-1.476758
265,-1.449528
266,-1.419896
267,-1.388074
268,-1.353886
269,-1.317579
270,-1.279436
271,-1.238961
272,-1.19665
273,-1.152467
274,-1.106553
275,-1.058627
276,-1.009322
277,-0.958429
278,-0.906123
279,-0.852404
280,-0.797096
281,-0.740904
282,-0.683583
283,-0.62492
284,-0.565585
285,-0.505474
286,-0.444797
287,-0.383061
288,-0.321042
289,-0.258706
290,-0.19538
291,-0.132231
292,-0.068941
293,-0.005792
294,0.057145
295,0.119976
296,0.1821
297,0.243095
298,0.303666
299,0.363035
300,0.421346
301,0.478173
302,0.534187
303,0.588789
304,0.64219
305,0.69432
306,0.745001
307,0.794411
308,0.842656
309,0.889523
310,0.935225
311,0.979373
312,1.022567
313,1.064348
314,1.105035
315,1.14445
316,1.182805
317,1.219889
318,1.255914
319,1.290914
320,1.324219
321,1.356606
322,1.387085
323,1.416294
324,1.44416
325,1.469977
326,1.493746
327,1.515785
328,1.535316
329,1.553646
330,1.56908
331,1.582642
332,1.593414
333,1.603021
334,1.609837
335,1.61457
336,1.616265
337,1.616194
338,1.613616
339,1.607541
340,1.600266
341,1.59073
342,1.577556
343,1.562758
344,1.545275
345,1.525815
346,1.503635
347,1.479019
348,1.452141
349,1.423251
350,1.3915
351,1.358054
352,1.321923
353,1.284274
354,1.244506
355,1.202513
356,1.158648
357,1.113016
358,1.065761
359,1.017022
360,0.966658
361,0.914422
362,0.861375
363,0.806455
364,0.75044
365,0.693613
366,0.63555
367,0.576392
368,0.516634
369,0.456063
370,0.394716
371,0.333086
372,0.270926
373,0.207918
374,0.145087
375,0.082044
376,0.018754
377,-0.044218
378,-0.107473
379,-0.16981
380,-0.23204
381,-0.292788
382,-0.352828
383,-0.412163
384,-0.469555
385,-0.526347
386,-0.581337
387,-0.635692
388,-0.687751
389,-0.739032
390,-0.788866
391,-0.837535
392,-0.884402
393,-0.930563
394,-0.975064
395,-1.018187
396,-1.05958
397,-1.100125
398,-1.139434
399,-1.177331
400,-1.214026
401,-1.249945
402,-1.284027
403,-1.317332
404,-1.349542
405,-1.380234
406,-1.409442
407,-1.43699
408,-1.463196
409,-1.487601
410,-1.509887
411,-1.530265
412,-1.54856
413,-1.565266
414,-1.579357
415,-1.591683
416,-1.601749
417,-1.609625
418,-1.61517
419,-1.618313
420,-1.619302
421,-1.617854
422,-1.613616
423,-1.607541
424,-1.5985
425,-1.587198
426,-1.57353
427,-1.557001
428,-1.5386
429,-1.517586
430,-1.494205
431,-1.467646
432,-1.439745
433,-1.409124
434,-1.376561
435,-1.341101
436,-1.304194
437,-1.265238
438,-1.224304
439,-1.181251
440,-1.136185
441,-1.089283
442,-1.041073
443,-0.991169
444,-0.93971
445,-0.886804
446,-0.832166
447,-0.776717
448,-0.720455
449,-0.661792
450,-0.603517
451,-0.543582
452,-0.483612
453,-0.422264
454,-0.360563
455,-0.298262
456,-0.235431
457,-0.172529
458,-0.109239
459,-0.046161
460,0.017129
461,0.079642
462,0.142085
463,0.203962
464,0.265451
465,0.324962
466,0.384226
467,0.442148
468,0.498375
469,0.554107
470,0.607967
471,0.660661
472,0.712473
473,0.762766
474,0.811611
475,0.859467
476,0.905875
477,0.951012
478,0.994842
479,1.037436
480,1.078758
481,1.119021
482,1.158153
483,1.195802
484,1.233134
485,1.268169
486,1.302887
487,1.335768
488,1.36759
489,1.397646
490,1.426395
491,1.453201
492,1.478242
493,1.501516
494,1.522813
495,1.541779
496,1.558979
497,1.573707
498,1.586774
499,1.59744
500,1.605564
501,1.611709
502,1.615417
503,1.617042
504,1.615382
505,1.61178
506,1.605987
507,1.597476
508,1.586315
509,1.573177
510,1.557319
511,1.539165
512,1.518469
513,1.495512
514,1.470154
515,1.442817
516,1.412444
517,1.380587
518,1.346152
519,1.309597
520,1.270924
521,1.230273
522,1.18782
523,1.143637
524,1.097406
525,1.049726
526,0.999998
527,0.948964
528,0.896834
529,0.842833
530,0.787701
531,0.73158
532,0.673976
533,0.616125
534,0.55672
535,0.496538
536,0.435861
537,0.374125
538,0.312107
539,0.24977
540,0.186974
541,0.124002
542,0.060994
543,-0.002472
544,-0.065197
545,-0.128276
546,-0.190541
547,-0.252207
548,-0.312707
549,-0.372501
550,-0.431411
551,-0.488874
552,-0.545242
553,-0.599879
554,-0.653174
555,-0.705586
556,-0.756974
557,-0.806278
558,-0.854629
559,-0.901108
560,-0.94635
561,-0.990286
562,-1.033127
563,-1.074626
564,-1.114782
565,-1.153562
566,-1.191529
567,-1.22773
568,-1.263295
569,-1.297201
570,-1.329941
571,-1.361586
572,-1.391889
573,-1.420744
574,-1.44808
575,-1.473332
576,-1.49689
577,-1.518434
578,-1.538282
579,-1.555836
580,-1.571764
581,-1.584973
582,-1.596593
583,-1.60574
584,-1.612662
585,-1.617289
586,-1.619867
587,-1.619726
588,-1.617395
589,-1.612486
590,-1.604892
591,-1.595533
592,-1.583172
593,-1.568409
594,-1.551315
595,-1.531678
596,-1.509675
597,-1.485446
598,-1.45864
599,-1.429467
600,-1.398034
601,-1.36427
602,-1.328987
603,-1.291126
604,-1.250899
605,-1.209188
606,-1.165994
607,-1.120151
608,-1.072824
609,-1.023803
610,-0.973439
611,-0.921239
612,-0.867767
613,-0.813236
614,-0.757221
615,-0.699759
616,-0.641872
617,-0.58275
618,-0.522991
619,-0.462491
620,-0.400932
621,-0.339266
622,-0.276682
623,-0.213887
624,-0.150914
625,-0.087518
626,-0.024511
627,0.038779
628,0.101504
629,0.164053
630,0.225012
631,0.286042
632,0.345235
633,0.403757
634,0.461185
635,0.517482
636,0.572719
637,0.626403
638,0.678886
639,0.729991
640,0.779295
641,0.828246
642,0.875431
643,0.921415
644,0.966199
645,1.009499
646,1.051845
647,1.092814
648,1.132547
649,1.171362
650,1.208799
651,1.245142
652,1.280495
653,1.314295
654,1.347035
655,1.378256
656,1.407852
657,1.435824
658,1.46196
659,1.486541
660,1.509145
661,1.529912
662,1.548242
663,1.564594
664,1.578792
665,1.590871
666,1.600725
667,1.608036
668,1.613404
669,1.616159
670,1.616795
671,1.61464
672,1.610437
673,1.603656
674,1.594368
675,1.582642
676,1.568126
677,1.551845
678,1.532808
679,1.511193
680,1.487283
681,1.460865
682,1.432716
683,1.401813
684,1.368614
685,1.333684
686,1.296636
687,1.256867
688,1.216357
689,1.172739
690,1.127885
691,1.081018
692,1.032491
693,0.982622
694,0.93081
695,0.878292
696,0.824149
697,0.768453
698,0.711732
699,0.653916
700,0.595252
701,0.535706
702,0.475171
703,0.414353
704,0.352722
705,0.290492
706,0.227979
707,0.165112
708,0.101858
709,0.038885
710,-0.024723
711,-0.087624
712,-0.150632
713,-0.212509
714,-0.273433
715,-0.334322
716,-0.39348
717,-0.451719
718,-0.508723
719,-0.564137
720,-0.618809
721,-0.672281
722,-0.723987
723,-0.774209
724,-0.822948
725,-0.871016
726,-0.917319
727,-0.962137
728,-1.005685
729,-1.04789
730,-1.089071
731,-1.128415
732,-1.166947
733,-1.204632
734,-1.240409
735,-1.27495
736,-1.308714
737,-1.341313
738,-1.372111
739,-1.402166
740,-1.430456
741,-1.456803
742,-1.481703
743,-1.504695
744,-1.525674
745,-1.544781
746,-1.56184
747,-1.576921
748,-1.589882
749,-1.600584
750,-1.608954
751,-1.615029
752,-1.618949
753,-1.620468
754,-1.61962
755,-1.61623
756,-1.610473
757,-1.602385
758,-1.591966
759,-1.57911
760,-1.563111
761,-1.545346
762,-1.525215
763,-1.502329
764,-1.477076
765,-1.449493
766,-1.419719
767,-1.38758
768,-1.353145
769,-1.316979
770,-1.278235
771,-1.237725
772,-1.195131
773,-1.150984
774,-1.104787
775,-1.056684
776,-1.007415
777,-0.956239
778,-0.90365
779,-0.849967
780,-0.794517
781,-0.738397
782,-0.680899
783,-0.622377
784,-0.563077
785,-0.502683
786,-0.441689
787,-0.380129
788,-0.318075
789,-0.255774
790,-0.192661
791,-0.129476
792,-0.06608
793,-0.002578
794,0.060182
795,0.12266
796,0.185208
797,0.246132
798,0.306632
799,0.365508
800,0.42403
801,0.480751
802,0.536871
803,0.591226
804,0.644733
805,0.696651
806,0.747403
807,0.796742
808,0.844704
809,0.891713
810,0.936991
811,0.981033
812,1.024262
813,1.066043
814,1.106695
815,1.14618
816,1.184253
817,1.221267
818,1.257609
819,1.29208
820,1.325773
821,1.358054
822,1.388745
823,1.417671
824,1.445431
825,1.470895
826,1.494841
827,1.516562
828,1.536552
829,1.55414
830,1.569963
831,1.58356
832,1.594827
833,1.603798
834,1.610685
835,1.615241
836,1.617254
837,1.616618
838,1.613969
839,1.608742
840,1.601184
841,1.591366
842,1.57858
843,1.563217
844,1.545982
845,1.52638
846,1.50413
847,1.479336
848,1.452565
849,1.423216
850,1.391924
851,1.35823
852,1.322206
853,1.28438
854,1.244329
855,1.202866
856,1.158824
857,1.11344
858,1.06569
859,1.017022
860,0.966552
861,0.914387
862,0.861304
863,0.806596
864,0.750228
865,0.693331
866,0.635515
867,0.575933
868,0.516387
869,0.455851
870,0.394398
871,0.332768
872,0.270608
873,0.207777
874,0.144981
875,0.081797
876,0.018613
877,-0.044783
878,-0.107544
879,-0.17041
880,-0.232217
881,-0.293317
882,-0.353182
883,-0.412092
884,-0.469661
885,-0.526382
886,-0.58169
887,-0.635833
888,-0.688351
889,-0.73988
890,-0.789926
891,-0.838488
892,-0.885532
893,-0.931128
894,-0.975735
895,-1.01907
896,-1.060534
897,-1.101079
898,-1.140247
899,-1.17832
900,-1.214839
901,-1.250616
902,-1.284945
903,-1.318321
904,-1.350355
905,-1.380975
906,-1.410078
907,-1.437767
908,-1.463938
909,-1.488237
910,-1.510381
911,-1.530972
912,-1.549584
913,-1.56576
914,-1.580064
915,-1.592178
916,-1.602561
917,-1.610226
918,-1.615594
919,-1.618914
920,-1.619797
921,-1.617925
922,-1.614216
923,-1.607753
924,-1.598853
925,-1.587834
926,-1.573742
927,-1.55739
928,-1.538565
929,-1.517939
930,-1.494276
931,-1.468458
932,-1.439957
933,-1.409724
934,-1.376808
935,-1.341737
936,-1.304441
937,-1.265308
938,-1.224163
939,-1.181286
940,-1.136503
941,-1.089706
942,-1.041391
943,-0.991381
944,-0.939781
945,-0.886733
946,-0.832555
947,-0.776929
948,-0.720067
949,-0.662251
950,-0.603481
951,-0.544006
952,-0.483576
953,-0.422476
954,-0.360881
955,-0.298368
956,-0.235713
957,-0.172706
958,-0.109734
959,-0.046373
960,0.016529
961,0.079748
962,0.142297
963,0.20368
964,0.265239
965,0.325316
966,0.384085
967,0.442007
968,0.498375
969,0.554107
970,0.608249
971,0.66105
972,0.712826
973,0.762519
974,0.811717
975,0.859609
976,0.905981
977,0.950835
978,0.994701
979,1.037612
980,1.079111
981,1.119374
982,1.158506
983,1.196155
984,1.232922
985,1.268734
986,1.302781
987,1.335874
988,1.36766
989,1.398069
990,1.426606
991,1.453272
992,1.478383
993,1.501622
994,1.522919
995,1.541779
996,1.559155
997,1.573777
998,1.586562
999,1.597228
1000,1.605669
1001,1.611674
