amplitude,frequency,yrms,THDN,THD,Fs,aperture
0.121,100.0,0.12050067396081805,0.019516024972903404,0.0001320227778307584,19531.25,5.1e-05
0.121,500.0,0.12064039904799655,0.0014474530036340135,7.810465317312207e-05,78125.0,1.26e-05
0.121,1000.0,0.12063595741252268,0.001727591519899134,0.0003243332536785584,156250.0,6.2e-06
0.121,2500.0,0.12059793881048522,0.0017896323649795607,0.000266114919631237,312500.0,3e-06
0.121,5000.0,0.1204655077315868,0.0018562367407031898,0.0006958893568726369,625000.0,1.4e-06
0.121,7500.0,0.12025449726949,0.001802861661342711,0.0007545507250555298,1250000.0,6e-07
0.121,10000.0,0.1199797345751873,0.0019457786025458294,0.0008324428296003103,1250000.0,6e-07
0.121,15000.0,0.11913981576053555,0.002027735410632537,0.0011440797176361247,2500000.0,2e-07
0.121,30000.0,0.11483834762875607,0.0016629397233359111,0.0007285925257820719,5000000.0,0.0
1.2,100.0,1.1967528944090227,0.012778513521120874,0.00011477922031893442,19531.25,5.1e-05
1.2,500.0,1.196150957087135,0.00021121073385467658,6.977556339754714e-05,78125.0,1.26e-05
1.2,1000.0,1.196094802580566,0.00024969671239310093,7.96120839633003e-05,156250.0,6.2e-06
1.2,2500.0,1.195712983094252,0.0004647570167846967,0.0003682377009348794,312500.0,3e-06
1.2,5000.0,1.1946040697773117,0.0016263589027606952,0.001598819172694383,625000.0,1.4e-06
1.2,7500.0,1.1932423753863024,0.0033145455714960505,0.003303293272297678,1250000.0,6e-07
1.2,10000.0,1.1914983017565857,0.005372059068144193,0.00536611042431095,1250000.0,6e-07
1.2,15000.0,1.1836204635860097,0.008827033211059586,0.00883017918047264,2500000.0,2e-07
1.2,30000.0,1.1452658492246401,0.005443045077815351,0.005497134823428482,5000000.0,0.0
