,ydata,freqs,yf_old,yf_filter
0,-4.14366,0.0,(-0.41975148542486684+0j),(-0.41975148542486684+0j)
1,-4.06879,0.0001999600079984003,(0.3482335593501319+0.13404862885277097j),(0.3482335593501319+0.13404862885277097j)
2,-3.97898,0.0003999200159968006,(-0.13353027617161917-0.03965426352902805j),(-0.13353027617161917-0.03965426352902805j)
3,-3.87978,0.0005998800239952009,(0.005121142789702063-0.3418138523363902j),(0.005121142789702063-0.3418138523363902j)
4,-3.77271,0.0007998400319936012,(-0.2450041078605445+0.4959685030424975j),(-0.2450041078605445+0.4959685030424975j)
5,-3.65452,0.0009998000399920016,(0.43778798847398237-0.3017424422312129j),(0.43778798847398237-0.3017424422312129j)
6,-3.53222,0.0011997600479904018,(-0.1987474440021637+0.13714194262750762j),(-0.1987474440021637+0.13714194262750762j)
7,-3.40356,0.0013997200559888023,(0.02793490997650451-0.0505208666387348j),(0.02793490997650451-0.0505208666387348j)
8,-3.2614,0.0015996800639872025,(-0.11829542826329427+0.08662132604406232j),(-0.11829542826329427+0.08662132604406232j)
9,-3.11217,0.0017996400719856027,(0.15916104546049334-0.16955329561442894j),(0.15916104546049334-0.16955329561442894j)
10,-2.95521,0.001999600079984003,(-0.10520970485145242+0.07110353547709211j),(-0.10520970485145242+0.07110353547709211j)
11,-2.79385,0.0021995600879824036,(-0.09617671816576938+0.06437184329817718j),(-0.09617671816576938+0.06437184329817718j)
12,-2.6218,0.0023995200959808036,(0.2998464885348643-0.06790270010579295j),(0.2998464885348643-0.06790270010579295j)
13,-2.43351,0.002599480103979204,(-0.27040294246311175-0.012613885161903551j),(-0.27040294246311175-0.012613885161903551j)
14,-2.24153,0.0027994401119776045,(0.20430031498682683+0.0005746843367915762j),(0.20430031498682683+0.0005746843367915762j)
15,-2.05317,0.0029994001199760045,(-0.27424831381949205+0.057018018249214444j),(-0.27424831381949205+0.057018018249214444j)
16,-1.85592,0.003199360127974405,(0.3107062165078504+0.04504051161511316j),(0.3107062165078504+0.04504051161511316j)
17,-1.6555,0.0033993201359728054,(-0.29808450369255196-0.20108910952769157j),(-0.29808450369255196-0.20108910952769157j)
18,-1.45941,0.0035992801439712055,(0.3420924923495711+0.24095895047897276j),(0.3420924923495711+0.24095895047897276j)
19,-1.2504,0.003799240151969606,(-0.2560561322152174-0.169204251641263j),(-0.2560561322152174-0.169204251641263j)
20,-1.04297,0.003999200159968006,(-0.10305627420370443+0.03221002437237479j),(-0.10305627420370443+0.03221002437237479j)
